統計情報,,,,,,,,,
質問件数,,,,,,,,,
合計回答件数,,,,,,,,,
運用者コメント回答,,,,,,,,,
出演者回答,,,,,,,,,
スルー,,,,,,,,,
質問回答率,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
最終回答状況,配信現場判定,アーカイブ判定,回答方法,Time,User,質問,コメント補足,回答,メモ
TRUE,TRUE,FALSE,運用者コメ,19:01:35,Guest3129032968,見えないなんで？,,,FAQ追加
TRUE,TRUE,FALSE,運用者コメ,19:02:00,Guest647986581,音が聞こえないのはなぜ,,更新をかけていただくと映像、音声が出るようになります。,FAQ追加
TRUE,FALSE,TRUE,スルー,19:02:08,Guest3530291532,どちらのお店から配信ですか〜？,,,
TRUE,,TRUE,出演者,19:02:23,ちゃちゃ,今日はバレンタイン？,,,
TRUE,,,運用者コメ,19:03:27,Guest74396,ネットで購入した場合、いつ発送になりますか？,,発送に関して通常のご注文の場合は、遅くとも5日程で発送いたします。なお、ご希望配送日時を指定された場合は、この限りではございません。,
TRUE,,,運用者コメ,19:03:33,Guest14983,文字は隠せないですか？,,画面の「チャット」をタップすると文字を非表示にすることが可能です。,FAQ追加
TRUE,,,運用者コメ,19:03:58,Guest74396,ネットで購入した場合、いつ発送されますか？,,,
FALSE,,,スルー,19:04:56,びびちゃん,あや見てるー？,,,
FALSE,,,,19:05:41,Guest1740,グッズ映ってないの私だけ？,,,
FALSE,,,,19:05:49,ぴろみ,なぜ犬と猫？,,,
FALSE,,,,19:05:53,かめかめず59959,おじさんが買ってもよき？,,,
FALSE,,,,19:06:11,さく21231,猫の日も近いから?,,,
FALSE,,,,19:06:13,kiyo,なにっ！？,,,
FALSE,,,,19:06:15,Guest6159823861,買えるかな😭😭,,,
TRUE,,,出演者,19:06:19,Guest9400040521,オンラインストアってどうやって買うんですか…？,,,FAQ追加
FALSE,,,,19:06:24,miki,誕生日ギフトチケットは使えますか?,,,FAQ追加
TRUE,,,運用者コメ,19:06:27,ポッキー,購入制限１つはどれですか？,,販売の個数制限に関してオンラインストア販売は明日の朝6時まで、一会計あたり各商品１点までご購入いただけます。,FAQ追加
FALSE,,,,19:06:35,ちゃちゃ,毎年犬と猫がテーマ？,,,
TRUE,,,運用者コメ,19:06:42,あさ,今日買ったらいつ発送なんだろう？🤔,,発送に関して通常のご注文の場合は、遅くとも5日程で発送いたします。なお、ご希望配送日時を指定された場合は、この限りではございません。,
FALSE,,,,19:06:47,まる🎀,今回の蓋付きタンブラー初めて採用ですか！？？,,,
FALSE,,,,19:06:53,あいちゃん,グリッターのタンブラー中栓含めてお手入れ方法知りたいです,,,
FALSE,,,,19:07:01,ともちゃん,おじさんが購入していいですか?,,,
TRUE,,,出演者,19:07:10,Guest153277992,Venti入りますか？,,,
FALSE,,,,19:07:13,♡しょこら♡,何犬ですか⁉️,,,
TRUE,,,出演者,19:07:18,Guest8698763335,ベージュですか？,,,
FALSE,,,,19:07:34,ひよ,こちら完全密閉ですか？,ToGO,,
FALSE,,,,19:07:36,かめかめず59959,中国産ですか？,,,
FALSE,,,,19:07:40,Guest9552568436,漏れない仕様ですか？,,,
FALSE,,,,19:07:42,Guest6179778513,本体は,,,
FALSE,,,,19:07:44,Guest359575151,保温機能はありますか？,,,
