【入力見本】20260112【質問ピックアップ表】,,,,,,,
回答済,Time,User,質問,回答方法,コメント補足,回答,メモ
TRUE,19:01:35,Guest3129032968,見えないなんで？,運用者コメ,,,FAQ追加
TRUE,19:02:00,Guest647986581,音が聞こえないのはなぜ,運用者コメ,,更新をかけていただくと映像、音声が出るようになります。,FAQ追加
,19:02:08,Guest3530291532,どちらのお店から配信ですか〜？,スルー,,,
TRUE,19:02:23,ちゃちゃ,今日はバレンタイン？,出演者,,,
TRUE,19:03:27,Guest74396,ネットで購入した場合、いつ発送になりますか？,運用者コメ,,発送に関して通常のご注文の場合は、遅くとも5日程で発送いたします。なお、ご希望配送日時を指定された場合は、この限りではございません。,
TRUE,19:03:33,Guest14983,文字は隠せないですか？,運用者コメ,,画面の「チャット」をタップすると文字を非表示にすることが可能です。,FAQ追加
TRUE,19:03:58,Guest74396,ネットで購入した場合、いつ発送されますか？,運用者コメ,,,
,19:04:56,びびちゃん,あや見てるー？,スルー,,,
,19:05:41,Guest1740,グッズ映ってないの私だけ？,スルー,,,
,19:05:49,ぴろみ,なぜ犬と猫？,スルー,,,
,19:05:53,かめかめず59959,おじさんが買ってもよき？,スルー,,,
,19:06:11,さく21231,猫の日も近いから?,スルー,,,
,19:06:13,kiyo,なにっ！？,スルー,,,
,19:06:15,Guest6159823861,買えるかな😭😭,スルー,,,
,19:06:19,Guest9400040521,オンラインストアってどうやって買うんですか…？,,,,FAQ追加
,19:06:24,miki,誕生日ギフトチケットは使えますか?,,,,FAQ追加
TRUE,19:06:27,ポッキー,購入制限１つはどれですか？,運用者コメ,,販売の個数制限に関してオンラインストア販売は明日の朝6時まで、一会計あたり各商品１点までご購入いただけます。,FAQ追加
,19:06:35,ちゃちゃ,毎年犬と猫がテーマ？,出演者,,,
TRUE,19:06:42,あさ,今日買ったらいつ発送なんだろう？🤔,運用者コメ,,発送に関して通常のご注文の場合は、遅くとも5日程で発送いたします。なお、ご希望配送日時を指定された場合は、この限りではございません。,
,19:06:47,まる🎀,今回の蓋付きタンブラー初めて採用ですか！？？,,,,
,19:06:53,あいちゃん,グリッターのタンブラー中栓含めてお手入れ方法知りたいです,,,,
,19:07:01,ともちゃん,おじさんが購入していいですか?,スルー,,,
TRUE,19:07:10,Guest153277992,Venti入りますか？,出演者,,,
,19:07:13,♡しょこら♡,何犬ですか⁉️,,,,
TRUE,19:07:18,Guest8698763335,ベージュですか？,出演者,,,
,19:07:34,ひよ,こちら完全密閉ですか？,,ToGO,,
,19:07:36,かめかめず59959,中国産ですか？,スルー,,,
,19:07:40,Guest9552568436,漏れない仕様ですか？,,,,
,19:07:42,Guest6179778513,本体は,,,,
,19:07:44,Guest359575151,保温機能はありますか？,,,,
TRUE,19:07:46,かなやん,グランデは入りますか？,出演者,,,
,19:07:51,Guest6179778513,艶消しな感じでしょうか,,,,
,19:07:53,Guest1151616593,保温力はどのくらいですか？,,,,
,19:07:59,子猫,表のハートはゴールドですか？,,,,
,19:08:02,Guest5482722862,完全密封、保温機能気になります！,,ToGo,,
,19:08:10,かめかめず59959,グランデとはなんですか？,,,,
,19:08:12,けい,密閉ですか？,,ToGoボトル,,
,19:09:17,Guest6183586432,重さがきになります！,,チョコレートマグ,,
,19:09:19,ルカ,バッグの中で横にしたら漏れますか？,,チョコレートマグ,,
TRUE,19:09:21,Guest9481615213,こちら、電子レンジ可能ですか？,出演者,マグカップ,マグカップに関して電子レンジはご使用可能です。食洗機はNGになります。,
,19:09:23,Guest5389073629,こぼれませんか？,,,,
,19:09:25,Guest3542688786,わんちゃんって初めてですかね？,,,,
,19:09:28,あこぱん,チョコの部分は盛り上がってますか？,,,,
,19:09:29,Guest4472691522,重めですか？,,,,
TRUE,19:09:31,ku,レンジ対応ですか？？,,,,
,19:09:33,ぴろみ,犬いない？,,,,
TRUE,19:09:35,ちゃちゃ,電子レンジ使えますか？,,,,
,19:09:37,Guest7354742688,オンラインでしか購入できないですか？,,,,
,19:09:39,まみ,わんちゃんって初めてですかね？,,,,
TRUE,19:09:41,にこ,マグは食洗機対応してますか？,,,,
,19:09:44,Guest88055,マグ重さは？,,,,
,19:09:50,Guest5439954289,わんちゃんはベージュ？？,,,,
,19:09:52,ミココ,コースターは手洗い？,,,,
,19:09:55,kouu,カップ乗せて欲しいです,出演者,,,
TRUE,19:09:57,ku,レンジ対応でか？,,,,
,19:09:59,ゆうゆう,柔らかさはどれくらいですか,,,,
,19:10:01,Guest89213,コースターだけど蓋にも使えないかな？,,,,
,19:10:03,Guest72922,タンブラーが漏れないのか気になります,,,,
TRUE,19:10:05,はじめ,洗えますか？,,,,
,19:10:06,テラ,マグカップ、飲み口厚いですか？い,,,,
,19:10:08,Guest7354742688,SNSではもっと違うデザインもたくさんあがってましたが、それは店舗限定なんですか？,,,,
TRUE,19:10:10,Guest9352152463,洗えますか?,,,,
,19:10:12,Guest4888222361,コースターも先行で今夜買えるのですか？,,,,
,19:10:13,Guest6343825009,花粉症ですか？心配です,,,,
,19:10:15,Guest64196,値段はいくらですか？,,,,
,19:10:16,Guest10780,タンブラーとボトルの違いは何ですか？,,,,
,19:10:18,Guest801853990,鼻水どーでもよくない？,スルー,,,
,19:10:21,Guest30057,ボトルの方、横に倒れたら結構こぼれますか？,,,,
,19:10:22,あづき,コースターはシリコンですか？,,,,
,19:10:24,リサ,マットは抗菌？,,,,
